Time,Equity
6/3/2024 8:30:00 PM,1000.00
6/6/2024 8:30:00 PM,1000.00
6/9/2024 8:30:00 PM,1000.00
6/12/2024 8:30:00 PM,1000.00
6/15/2024 8:30:00 PM,1000.00
6/18/2024 8:30:00 PM,1000.00
6/21/2024 8:30:00 PM,1000.00
6/24/2024 8:30:00 PM,1000.00
6/27/2024 8:30:00 PM,1000.00
6/30/2024 8:30:00 PM,1000.00
7/3/2024 8:30:00 PM,1000.00
7/6/2024 8:30:00 PM,1000.00
7/9/2024 8:30:00 PM,1000.00
7/12/2024 8:30:00 PM,1000.00
7/15/2024 8:30:00 PM,1000.00
7/18/2024 8:30:00 PM,1000.00
7/21/2024 8:30:00 PM,1000.00
7/24/2024 8:30:00 PM,1000.00
7/27/2024 8:30:00 PM,1000.00
7/30/2024 8:30:00 PM,924.89
8/2/2024 8:30:00 PM,924.89
8/5/2024 8:30:00 PM,924.89
8/8/2024 8:30:00 PM,924.89
8/11/2024 8:30:00 PM,924.89
8/14/2024 8:30:00 PM,924.89
8/17/2024 8:30:00 PM,924.89
8/20/2024 8:30:00 PM,924.89
8/23/2024 8:30:00 PM,924.89
8/26/2024 8:30:00 PM,885.94
8/29/2024 8:30:00 PM,885.94
9/1/2024 8:30:00 PM,885.94
9/4/2024 8:30:00 PM,885.94
9/7/2024 8:30:00 PM,885.94
9/10/2024 8:30:00 PM,885.94
9/13/2024 8:30:00 PM,885.94
9/16/2024 8:30:00 PM,885.94
9/19/2024 8:30:00 PM,885.94
9/22/2024 8:30:00 PM,863.07
9/25/2024 8:30:00 PM,863.07
9/28/2024 8:30:00 PM,863.07
10/1/2024 8:30:00 PM,863.07
10/4/2024 8:30:00 PM,863.07
10/7/2024 8:30:00 PM,863.07
10/10/2024 8:30:00 PM,863.07
10/13/2024 8:30:00 PM,863.07
10/16/2024 8:30:00 PM,863.07
10/19/2024 8:30:00 PM,863.07
10/22/2024 8:30:00 PM,863.07
10/25/2024 8:30:00 PM,863.07
10/28/2024 8:30:00 PM,863.07
10/31/2024 8:30:00 PM,863.07
11/3/2024 8:30:00 PM,863.07
11/6/2024 8:30:00 PM,863.07
11/9/2024 8:30:00 PM,863.07
11/12/2024 8:30:00 PM,863.07
11/15/2024 8:30:00 PM,863.07
11/18/2024 8:30:00 PM,863.07
11/21/2024 8:30:00 PM,863.07
11/24/2024 8:30:00 PM,863.07
11/27/2024 8:30:00 PM,863.07
11/30/2024 8:30:00 PM,863.07
12/3/2024 8:30:00 PM,863.07
12/6/2024 8:30:00 PM,863.07
12/9/2024 8:30:00 PM,863.07
12/12/2024 8:30:00 PM,863.07
12/15/2024 8:30:00 PM,863.07
12/18/2024 8:30:00 PM,863.07
12/21/2024 8:30:00 PM,863.07
12/24/2024 8:30:00 PM,863.07
12/27/2024 8:30:00 PM,863.07
12/30/2024 8:30:00 PM,863.07
1/2/2025 8:30:00 PM,863.07
1/5/2025 8:30:00 PM,863.07
1/8/2025 8:30:00 PM,863.07
1/11/2025 8:30:00 PM,863.07
1/14/2025 8:30:00 PM,863.07
1/17/2025 8:30:00 PM,863.07
1/20/2025 8:30:00 PM,863.07
1/23/2025 8:30:00 PM,863.07
1/26/2025 8:30:00 PM,863.07
1/29/2025 8:30:00 PM,863.07
2/1/2025 8:30:00 PM,863.07
2/4/2025 8:30:00 PM,863.07
2/7/2025 8:30:00 PM,863.07
2/10/2025 8:30:00 PM,863.07
2/13/2025 8:30:00 PM,863.07
2/16/2025 8:30:00 PM,863.07
2/19/2025 8:30:00 PM,863.07
2/22/2025 8:30:00 PM,863.07
2/25/2025 8:30:00 PM,863.07
2/28/2025 8:30:00 PM,863.07
3/3/2025 8:30:00 PM,863.07
3/6/2025 8:30:00 PM,863.07
3/9/2025 8:30:00 PM,863.07
3/12/2025 8:30:00 PM,863.07
3/15/2025 8:30:00 PM,863.07
3/18/2025 8:30:00 PM,863.07
3/21/2025 8:30:00 PM,863.07
3/24/2025 8:30:00 PM,863.07
3/27/2025 8:30:00 PM,863.07
3/30/2025 8:30:00 PM,863.07
4/2/2025 8:30:00 PM,863.07
4/5/2025 8:30:00 PM,863.07
4/8/2025 8:30:00 PM,863.07
4/11/2025 8:30:00 PM,863.07
4/14/2025 8:30:00 PM,863.07
4/17/2025 8:30:00 PM,863.07
4/20/2025 8:30:00 PM,863.07
4/23/2025 8:30:00 PM,863.07
4/26/2025 8:30:00 PM,863.07
4/29/2025 8:30:00 PM,863.07
5/2/2025 8:30:00 PM,863.07
5/5/2025 8:30:00 PM,863.07
5/8/2025 8:30:00 PM,863.07
5/11/2025 8:30:00 PM,863.07
5/14/2025 8:30:00 PM,863.07
5/17/2025 8:30:00 PM,863.07
